Date,High,Low,Open,Close,Volume,Adj Close
2014-02-19,39418.80078125,35952.5,36436.19921875,38572.3984375,3758157.0,38572.3984375
2014-02-20,38935.1015625,37202.0,38814.19921875,37484.1015625,1514137.0,37484.1015625
2014-02-21,38532.1015625,37322.8984375,37806.6015625,37927.5,850284.0,37927.5
2014-02-24,39136.69921875,37927.5,38209.6015625,38008.1015625,946798.0,38008.1015625
2014-02-25,38532.1015625,37605.1015625,38330.6015625,38209.6015625,536812.0,38209.6015625
2014-02-26,38612.69921875,37202.0,38048.3984375,38008.1015625,802376.0,38008.1015625
2014-02-27,38894.80078125,37927.5,37927.5,38129.0,731554.0,38129.0
2014-02-28,38693.30078125,38088.69921875,38249.8984375,38653.0,692633.0,38653.0
2014-03-03,40023.3984375,38733.6015625,38894.80078125,39942.80078125,1686719.0,39942.80078125
2014-03-04,39983.1015625,37121.3984375,39821.8984375,37282.6015625,1316705.0,37282.6015625
2014-03-05,38129.0,36678.0,38008.1015625,37282.6015625,1856028.0,37282.6015625
2014-03-06,37564.69921875,36234.69921875,37282.6015625,36718.30078125,1041062.0,36718.30078125
2014-03-07,37403.5,36879.6015625,37242.30078125,37202.0,567751.0,37202.0
2014-03-10,37766.30078125,36476.5,37081.1015625,37282.6015625,655087.0,37282.6015625
2014-03-11,37967.80078125,37282.6015625,37282.6015625,37887.19921875,592911.0,37887.19921875
2014-03-12,36798.8984375,34098.5,36436.19921875,34743.3984375,3537830.0,34743.3984375
2014-03-13,35347.8984375,33252.1015625,34904.6015625,34824.0,2221767.0,34824.0
2014-03-14,34582.1015625,33856.6015625,34340.30078125,33856.6015625,775050.0,33856.6015625
2014-03-17,34098.5,33252.1015625,33534.19921875,33534.19921875,536144.0,33534.19921875
2014-03-18,34219.3984375,33816.30078125,33856.6015625,33856.6015625,392951.0,33856.6015625
2014-03-19,34138.80078125,33534.19921875,34058.19921875,33534.19921875,397495.0,33534.19921875
2014-03-20,33655.1015625,32486.19921875,33373.0,32969.8984375,744709.0,32969.8984375
2014-03-21,33614.80078125,32929.6015625,32929.6015625,33493.8984375,394974.0,33493.8984375
2014-03-24,33937.19921875,33332.69921875,33937.19921875,33332.69921875,343854.0,33332.69921875
2014-03-25,33574.5,33050.5,33453.6015625,33292.3984375,348614.0,33292.3984375
2014-03-26,38169.30078125,33292.3984375,33292.3984375,37081.1015625,4018896.0,37081.1015625
2014-03-27,37322.8984375,35267.30078125,37081.1015625,35912.19921875,1827151.0,35912.19921875
2014-03-28,36476.5,35267.30078125,35791.30078125,35388.19921875,788511.0,35388.19921875
2014-03-31,35751.0,34944.8984375,35388.19921875,35468.8984375,517893.0,35468.8984375
2014-04-01,36355.6015625,35347.8984375,35468.8984375,35791.30078125,922481.0,35791.30078125
2014-04-02,37484.1015625,36113.69921875,36234.69921875,37040.80078125,1471490.0,37040.80078125
2014-04-03,42562.6015625,37081.1015625,37081.1015625,39378.5,7409278.0,39378.5
2014-04-04,41031.0,39015.69921875,40386.1015625,39499.3984375,2518777.0,39499.3984375
2014-04-07,42240.19921875,38894.80078125,39015.69921875,41111.6015625,3034729.0,41111.6015625
2014-04-08,41595.30078125,39902.5,40708.6015625,39902.5,1306169.0,39902.5
2014-04-09,40950.3984375,39700.8984375,40466.69921875,39983.1015625,919290.0,39983.1015625
2014-04-10,41272.8984375,39902.5,40789.19921875,40023.3984375,1035720.0,40023.3984375
2014-04-11,40547.3984375,39257.6015625,39741.19921875,40305.5,937660.0,40305.5
2014-04-14,41998.3984375,40789.19921875,40789.19921875,41514.69921875,1730839.0,41514.69921875
2014-04-15,41998.3984375,40869.80078125,41756.5,40869.80078125,781389.0,40869.80078125
2014-04-16,40869.80078125,39660.6015625,40789.19921875,40104.0,886218.0,40104.0
2014-04-17,40466.69921875,39821.8984375,39983.1015625,39942.80078125,440561.0,39942.80078125
2014-04-18,41675.8984375,39983.1015625,40144.30078125,41434.1015625,1582929.0,41434.1015625
2014-04-21,41675.8984375,40265.19921875,41353.5,40305.5,849173.0,40305.5
2014-04-22,40144.30078125,38612.69921875,39902.5,39096.3984375,1669653.0,39096.3984375
2014-04-23,39821.8984375,38370.8984375,39096.3984375,38370.8984375,960762.0,38370.8984375
2014-04-24,39177.0,37967.80078125,38612.69921875,38733.6015625,784058.0,38733.6015625
2014-04-25,40547.3984375,38693.30078125,39660.6015625,38693.30078125,1441839.0,38693.30078125
2014-04-28,38975.3984375,38209.6015625,38370.8984375,38370.8984375,473454.0,38370.8984375
2014-04-29,38975.3984375,38330.6015625,38773.8984375,38532.1015625,469955.0,38532.1015625
2014-04-30,39580.0,38249.8984375,38451.5,38773.8984375,677275.0,38773.8984375
2014-05-02,38935.1015625,37806.6015625,38693.30078125,38048.3984375,567961.0,38048.3984375
2014-05-07,38370.8984375,37484.1015625,38209.6015625,37484.1015625,457159.0,37484.1015625
2014-05-08,37766.30078125,36758.6015625,37403.5,37121.3984375,455767.0,37121.3984375
2014-05-09,38209.6015625,37202.0,37202.0,37685.69921875,340687.0,37685.69921875
2014-05-12,38854.5,37887.19921875,37887.19921875,38733.6015625,585329.0,38733.6015625
2014-05-13,39418.80078125,38653.0,38894.80078125,38653.0,519894.0,38653.0
2014-05-14,39297.8984375,38169.30078125,38612.69921875,39297.8984375,533806.0,39297.8984375
2014-05-15,41514.69921875,39539.69921875,40104.0,41111.6015625,2000474.0,41111.6015625
2014-05-16,42079.0,40386.1015625,41837.1015625,40789.19921875,1839390.0,40789.19921875
2014-05-19,40789.19921875,39660.6015625,40789.19921875,39902.5,989113.0,39902.5
2014-05-20,40547.3984375,39378.5,40023.3984375,39378.5,718049.0,39378.5
2014-05-21,39983.1015625,39177.0,39297.8984375,39781.6015625,526416.0,39781.6015625
2014-05-22,40104.0,39056.1015625,39942.80078125,39096.3984375,478217.0,39096.3984375
2014-05-23,40305.5,38975.3984375,39096.3984375,39499.3984375,662706.0,39499.3984375
2014-05-26,40950.3984375,39217.30078125,39781.6015625,39257.6015625,1218354.0,39257.6015625
2014-05-27,39257.6015625,38411.19921875,39257.6015625,38491.80078125,1533863.0,38491.80078125
2014-05-28,39015.69921875,38209.6015625,39015.69921875,38411.19921875,516832.0,38411.19921875
2014-05-29,38733.6015625,38169.30078125,38491.80078125,38451.5,378858.0,38451.5
2014-05-30,39378.5,37766.30078125,38370.8984375,39217.30078125,770174.0,39217.30078125
2014-06-02,39902.5,37887.19921875,38733.6015625,37927.5,1409388.0,37927.5
2014-06-03,38048.3984375,37000.5,37726.0,37363.19921875,620732.0,37363.19921875
2014-06-05,37685.69921875,36678.0,37322.8984375,36839.19921875,436187.0,36839.19921875
2014-06-09,37403.5,36758.6015625,36919.8984375,36798.8984375,342661.0,36798.8984375
2014-06-10,38290.19921875,36678.0,36678.0,38290.19921875,453333.0,38290.19921875
2014-06-11,38169.30078125,37484.1015625,38048.3984375,37564.69921875,377492.0,37564.69921875
2014-06-12,38370.8984375,37202.0,37685.69921875,38249.8984375,405281.0,38249.8984375
2014-06-13,38612.69921875,37846.8984375,38008.1015625,38370.8984375,447174.0,38370.8984375
2014-06-16,38491.80078125,38008.1015625,38411.19921875,38008.1015625,270640.0,38008.1015625
2014-06-17,38370.8984375,37726.0,38008.1015625,38169.30078125,308348.0,38169.30078125
2014-06-18,38532.1015625,38008.1015625,38209.6015625,38048.3984375,319338.0,38048.3984375
2014-06-19,38290.19921875,37121.3984375,37927.5,37202.0,479677.0,37202.0
2014-06-20,37363.19921875,36154.1015625,37161.69921875,36154.1015625,713054.0,36154.1015625
2014-06-23,36355.6015625,35186.69921875,36113.69921875,35468.8984375,579615.0,35468.8984375
2014-06-24,36476.5,34824.0,35468.8984375,36275.0,659611.0,36275.0
2014-06-25,36960.19921875,35871.8984375,36315.30078125,36154.1015625,516205.0,36154.1015625
2014-06-26,36597.3984375,36113.69921875,36113.69921875,36234.69921875,219247.0,36234.69921875
2014-06-27,37081.1015625,36315.30078125,36315.30078125,36678.0,303746.0,36678.0
2014-06-30,38129.0,36758.6015625,37202.0,37524.3984375,656717.0,37524.3984375
2014-07-01,37887.19921875,37202.0,37524.3984375,37685.69921875,394098.0,37685.69921875
2014-07-02,38209.6015625,37443.80078125,38008.1015625,37887.19921875,594916.0,37887.19921875
2014-07-03,36597.3984375,34904.6015625,35468.8984375,36355.6015625,2233991.0,36355.6015625
2014-07-04,37524.3984375,35871.8984375,36476.5,37524.3984375,1357558.0,37524.3984375
2014-07-07,37726.0,36919.8984375,37605.1015625,37000.5,476393.0,37000.5
2014-07-08,36879.6015625,36355.6015625,36718.30078125,36355.6015625,481431.0,36355.6015625
2014-07-09,37202.0,35992.80078125,36718.30078125,36154.1015625,449248.0,36154.1015625
